type,prob,run,failed_count,performance_ratio_by_transfers,performance_ratio_by_trains,isolated_stations,reachable_pct
random,0.05,0.0,2,1.0024573496678468,0.9512195121951219,0,97.65402018795683
random,0.05,1.0,2,0.9296456015492829,0.9040266828129204,4,55.80925861468848
random,0.05,2.0,2,0.9808834390220081,0.9296456015492829,5,77.25722241559345
random,0.05,3.0,2,0.9296456015492829,0.9040266828129204,0,97.65402018795683
random,0.05,4.0,2,0.9040266828129204,0.888655331571103,1,95.34284719805082
random,0.05,5.0,2,0.9328461267549844,0.9072272080186219,0,97.65402018795683
random,0.05,6.0,2,1.0024573496678468,0.9512195121951219,0,97.65402018795683
random,0.05,7.0,2,0.9130028704796359,0.8873839517432734,0,97.65402018795683
random,0.05,8.0,2,0.9488487527834911,0.9232298340471288,0,97.65402018795683
random,0.05,9.0,2,1.0000865902562164,0.9488487527834911,1,82.41559345631744
random,0.1,0.0,4,0.9488000984482053,0.9001898423843379,1,80.29237730595197
random,0.1,1.0,4,0.8977607258179594,0.8734555977860257,1,87.58788722589628
random,0.1,2.0,4,0.8508014454604526,0.8362183686412924,1,93.05255830142708
random,0.1,3.0,4,0.8379297680027405,0.8233466911835803,2,89.70414201183432
random,0.1,4.0,4,0.8576663401045657,0.8430832632854054,1,89.73198746954402
random,0.1,5.0,4,0.8819714681364993,0.8576663401045657,2,79.31778628611208
random,0.1,6.0,4,0.9463709818818267,0.8977607258179594,1,77.28506787330318
random,0.1,7.0,4,0.8786820394528618,0.8543769114209282,2,77.20153150017404
random,0.1,8.0,4,0.8819714681364993,0.8576663401045657,0,95.3358858336234
random,0.1,9.0,4,0.8508014454604526,0.8362183686412924,3,68.06822137138879
random,0.15,0.0,6,0.8278035154657707,0.8048121781382659,2,83.27880264531848
random,0.15,1.0,6,0.765505942942694,0.7563094080116921,2,88.56943961016358
random,0.15,2.0,6,0.8467438216347765,0.8237524843072715,2,74.24991298294465
random,0.15,3.0,6,0.784150025953896,0.770355223557393,3,87.46954403063
random,0.15,4.0,6,0.8011225081053427,0.7873277057088398,1,86.41141663766098
random,0.15,5.0,6,0.8311857129959503,0.8081943756684455,2,68.06126000696136
random,0.15,6.0,6,0.8237524843072715,0.8099576819107687,2,90.79011486251305
random,0.15,7.0,6,0.8311857129959503,0.8081943756684455,1,91.91089453532892
random,0.15,8.0,6,0.8975136066401942,0.8515309319851844,2,90.79011486251305
random,0.15,9.0,6,0.8071413632814008,0.784150025953896,6,69.2516533240515
random,0.2,0.0,8,0.7770216256938277,0.7553440790707517,2,85.26975287156283
random,0.2,1.0,8,0.7498867380802726,0.7282091914571965,3,65.53428471980509
random,0.2,2.0,8,0.7770216256938277,0.7553440790707517,1,86.38357117995128
random,0.2,3.0,8,0.679562415875105,0.6733688311256547,3,76.85346327880265
random,0.2,4.0,8,0.7805004574391552,0.7588229108160793,1,79.00452488687783
random,0.2,5.0,8,0.7347692741769571,0.7217627462031115,4,53.19178558997564
random,0.2,6.0,8,0.7899761324788094,0.7682985858557335,3,73.97841977027497
random,0.2,7.0,8,0.7343362380826527,0.7256652194334223,3,74.96693351896971
random,0.2,8.0,8,0.8043740929114729,0.7610189996653208,10,34.235990254089806
random,0.2,9.0,8,0.7233388270137381,0.7103322990398924,4,53.0316742081448
degree,,,1,0.9567652582102404,0.9304894441216636,2,72.96902192829795
degree,,,2,0.9040266828129204,0.888655331571103,2,71.97354681517577
degree,,,3,0.8624909652666807,0.8525061559130213,3,69.03585102680125
degree,,,4,0.8362183686412924,0.8264963174285189,4,63.40410720501218
degree,,,5,0.8240117226226382,0.8098227830148067,6,45.993734772015316
degree,,,6,0.7793007453391969,0.765505942942694,7,35.98329272537417
degree,,,7,0.7337168975451099,0.7203162323599357,15,28.63905325443787
degree,,,8,0.7087999042038775,0.6871223575808014,22,15.231465367211975
betweenness,,,1,0.9567652582102404,0.9304894441216636,2,72.96902192829795
betweenness,,,2,0.9296456015492829,0.9040266828129204,5,55.154890358510265
betweenness,,,3,0.9024302026813176,0.8774681792971696,5,50.19143752175427
betweenness,,,4,0.8579443368821036,0.8336392088501697,8,44.678036895231465
betweenness,,,5,0.8065543124097216,0.7923653728018901,9,42.408632091890006
betweenness,,,6,0.7477252473554641,0.7385287124244623,9,39.49182039679777
betweenness,,,7,0.7203162323599357,0.7113824555698195,10,35.3637312913331
betweenness,,,8,0.6926451860610164,0.683974167411786,11,27.852419074138528
