time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,sme
20,86.72941176470589,97,51.01730103806228,73.0,105.99983026289887,0.17963881023920208
30,134.2235294117647,149,78.95501730103807,73.0,159.0120827872244,0.26947912364301657
45,162.9764705882353,167,95.86851211072664,73.0,309.4036274883351,0.524348948369512
60,169.24705882352941,170,99.55709342560553,73.0,373.7321500180937,0.6333670404082522
75,170.0,170,100.0,73.0,376.5603467197092,0.6381600093152832
90,170.0,170,100.0,73.0,376.5603467197092,0.6381600093152832
