time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,infrastructure_efficiency,per_capita_accessibility,density_normalized_coverage,sme_legacy
20,53.131147540983605,63,43.550120935232464,93.0,92.87860665469485,0.5029583905958589,17.03069654076112,0.003735440390785205,0.0922250239467249
30,82.19672131147541,95,67.37436173071755,93.0,108.48727438751024,0.5874828110733221,19.89278171987499,0.004363197955153847,0.10772385416483096
45,110.44262295081967,116,90.52674012362269,93.0,210.07236728075398,1.1375887684125736,38.51994412511992,0.008448800364176511,0.2085940971858174
60,119.1311475409836,121,97.64848159097016,93.0,268.1464070364048,1.452072658976253,49.16869719752179,0.01078445247581764,0.2662594724542051
75,121.45901639344262,122,99.55657081429723,93.0,271.5638959252727,1.4705791242790174,49.79534544617733,0.010921898831769099,0.26965291262267443
90,121.93442622950819,122,99.9462510077936,93.0,278.78853764501156,1.5097021721246957,51.12009271765651,0.01121246325193959,0.27682671485343546
