time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,sme
20,178.98882681564245,216,49.99687899878281,80.29998194937981,205.02295194716794,1047.4982341159453
30,277.45251396648047,303,77.50070222527387,80.29998194937981,268.3501953333282,1371.0482317548797
45,344.70949720670393,352,96.28756905215194,80.29998194937981,360.1633629515218,1840.1378143369898
60,356.63128491620114,358,99.61767735089417,80.29998194937981,459.75903330686964,2348.989568894228
75,357.9553072625698,358,99.98751599513123,80.29998194937981,462.6049237833552,2363.52972266869
90,358.0,358,100.0,80.29998194937981,462.6049237833552,2363.52972266869
120,358.0,358,100.0,80.29998194937981,462.6049237833552,2363.52972266869
