time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,infrastructure_efficiency,per_capita_accessibility,density_normalized_coverage,sme_legacy
20,36.67741935483871,41,39.438085327783554,100.0,32.499249929256315,0.23708541864098792,6.5160449640048,0.0016103511272061667,0.04753522778333027
30,59.81720430107527,69,64.31957451728523,100.0,121.32405658869355,0.8850716496585782,24.325269342161718,0.006011656629310342,0.17745537752702129
45,82.35483870967742,87,88.55359001040583,100.0,202.1189807157338,1.4744790499039084,40.52451577465308,0.010015078167460693,0.29563057019995664
60,90.05376344086021,92,96.8320036998497,100.0,244.21960417085518,1.7816074900565717,48.96561998608445,0.012101181280136084,0.35720930602049766
