time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,sme
20,53.131147540983605,63,43.550120935232464,93.0,92.87860665469485,2742.9338789535764
30,82.19672131147541,95,67.37436173071755,93.0,108.48727438751024,3203.89625846947
45,110.44262295081967,116,90.52674012362269,93.0,210.07236728075398,6203.954107414813
60,119.1311475409836,121,97.64848159097016,93.0,268.1464070364048,7919.023452992895
75,121.45901639344262,122,99.55657081429723,93.0,271.5638959252727,8019.950312168051
90,121.93442622950819,122,99.9462510077936,93.0,278.78853764501156,8233.311765899241
120,122.0,122,100.0,93.0,278.78853764501156,8233.311765899241
