time_threshold,avg_reachable_stations,median_reachable,reachability_pct,max_travel_time,reachable_area_km2,infrastructure_efficiency,per_capita_accessibility,density_normalized_coverage,sme_legacy
20,178.98882681564245,216,49.99687899878281,80.29998194937981,205.02295194716794,0.1256472625122928,24.592473595998083,0.0016648096537125636,0.015071371065514908
30,277.45251396648047,303,77.50070222527387,80.29998194937981,268.3501953333282,0.16445703819034047,32.1885673313122,0.0021790340619117603,0.019726598075781258
45,344.70949720670393,352,96.28756905215194,80.29998194937981,360.1633629515218,0.2207242661482182,43.20154358090405,0.0029245674099443574,0.026475843975970467
60,356.63128491620114,358,99.61767735089417,80.29998194937981,459.75903330686964,0.28176096091520636,55.14802991439894,0.0037332955640404127,0.03379718673388253
75,357.9553072625698,358,99.98751599513123,80.29998194937981,462.6049237833552,0.28350505026902834,55.48939406770656,0.0037564045179095517,0.03400639000100738
90,358.0,358,100.0,80.29998194937981,462.6049237833552,0.28350505026902834,55.48939406770656,0.0037564045179095517,0.03400639000100738
