type,prob,run,failed_count,performance_ratio_by_transfers,performance_ratio_by_trains,isolated_stations,reachable_pct,delta_transfers,delta_trains
random,0.05,0.0,11,0.938731749846706,0.8883615085089649,3,92.32273915152653,3.0,4.0
random,0.05,1.0,11,0.8801865849220529,0.849964440119408,1,92.86105503653975,4.0,5.0
random,0.05,2.0,11,0.9305568262597941,0.8801865849220529,0,93.39937092155299,3.0,4.0
random,0.05,3.0,11,0.9277520963787558,0.8773818550410146,8,89.65932741811808,3.0,4.0
random,0.05,4.0,11,0.8981315391372259,0.867909394334581,2,92.86105503653975,4.0,5.0
random,0.05,5.0,11,0.9389710159029085,0.8886007745651675,6,89.6781058792232,3.0,4.0
random,0.05,6.0,11,0.8553479263839601,0.8351998298488635,5,82.6330532212885,5.0,6.0
random,0.05,7.0,11,0.9305568262597941,0.8801865849220529,8,86.0225654507613,3.0,4.0
random,0.05,8.0,11,0.945982840605504,0.8956125992677628,2,92.32273915152653,3.0,4.0
random,0.05,9.0,11,0.9291544613192748,0.8787842199815337,7,88.62181744206062,3.0,4.0
random,0.1,0.0,23,0.8302528882332835,0.8016283898519238,6,81.40619376242117,4.0,5.0
random,0.1,1.0,23,0.7944729618990771,0.7753899629781709,6,78.43763203605465,5.0,6.0
random,0.1,2.0,23,0.7599108102130395,0.7462800966981064,7,80.90230505610066,6.0,7.0
random,0.1,3.0,23,0.823244633627165,0.7946201352458057,9,82.91003552258893,4.0,5.0
random,0.1,4.0,23,0.8835669892204439,0.8358594919181781,9,80.3999812215389,3.0,4.0
random,0.1,5.0,23,0.8217028176138191,0.7930783192324596,6,84.43735035913807,4.0,5.0
random,0.1,6.0,23,0.7447078243125849,0.7310771107976518,5,82.4061468162684,6.0,7.0
random,0.1,7.0,23,0.8187886389074541,0.7901641405260945,3,85.46860084816049,4.0,5.0
random,0.1,8.0,23,0.7820052769547926,0.7629222780338862,14,80.38746224746882,5.0,6.0
random,0.1,9.0,23,0.8203081749472017,0.7916836765658419,12,81.40306401890365,4.0,5.0
random,0.15,0.0,35,0.6789145082172635,0.6692620610886655,21,59.299250426427555,7.0,8.0
random,0.15,1.0,35,0.7272092290722859,0.7001823771122115,43,47.70355069402063,4.0,5.0
random,0.15,2.0,35,0.7605350951711373,0.7335082432110627,16,68.48974226562133,4.0,5.0
random,0.15,3.0,35,0.7210913323746027,0.7030734310678866,16,67.48352972473906,5.0,6.0
random,0.15,4.0,35,0.6884954490398643,0.670477547733148,17,68.01089150744096,5.0,6.0
random,0.15,5.0,35,0.7635877372649057,0.7365608853048314,19,65.2754956731296,4.0,5.0
random,0.15,6.0,35,0.7350184127124775,0.7170005114057613,14,74.95735724457381,5.0,6.0
random,0.15,7.0,35,0.7169036742003392,0.698885772893623,10,74.4800713581522,5.0,6.0
random,0.15,8.0,35,0.6781234956758645,0.6652535661710672,8,76.41425285197879,6.0,7.0
random,0.15,9.0,35,0.7210765865499029,0.7030586852431867,28,64.9124454250974,5.0,6.0
random,0.2,0.0,47,0.6250177809700844,0.6129086354754231,12,69.26435378620722,6.0,7.0
random,0.2,1.0,47,0.6954539774389294,0.6700247719001403,9,69.26435378620722,4.0,5.0
random,0.2,2.0,47,0.6079080836481516,0.59579893815349,26,55.68909127896969,6.0,7.0
random,0.2,3.0,47,0.6618733015349734,0.6449204978424472,15,65.62133233181541,5.0,6.0
random,0.2,4.0,47,0.6313270594019187,0.6222452002809226,8,62.98139367478836,7.0,8.0
random,0.2,5.0,47,0.6857093354464149,0.6602801299076257,36,46.42818021063174,4.0,5.0
random,0.2,6.0,47,0.6952299626804808,0.6698007571416916,26,55.3651628249065,4.0,5.0
random,0.2,7.0,47,0.6657698475111569,0.6488170438186308,23,57.81731687088243,5.0,6.0
random,0.2,8.0,47,0.6445137680161364,0.6324046225214748,29,47.861602741655325,6.0,7.0
random,0.2,9.0,47,0.6473874623363606,0.6304346586438345,52,41.67879442279705,5.0,6.0
degree,,,1,1.0859130790014313,0.9807346896001565,1,98.88424643600457,,
degree,,,2,1.0675921591554864,0.9628575604267912,2,97.77475235904419,,
degree,,,3,0.9505653952254586,0.8984199911974005,4,96.12381265355305,,
degree,,,4,0.8523921865318514,0.8316227830551441,5,86.22443390764127,,
degree,,,5,0.8376441907279701,0.8169635453857786,5,85.70646135549191,,
degree,,,6,0.824288580191809,0.8036966929841334,12,81.14798992222588,,
degree,,,7,0.7904231563370582,0.7757780641419441,13,80.14490712486112,,
degree,,,8,0.7771428413002517,0.7625611477726488,21,75.73196876515969,,
betweenness,,,1,1.0901058525150256,0.9849274631137511,0,99.4413407821229,,
betweenness,,,2,0.8860601260933355,0.8651132063475965,1,89.36356665571256,,
betweenness,,,3,0.854665652498682,0.8397669656335225,1,88.83620487301066,,
betweenness,,,4,0.8456125540974119,0.830777265899764,1,88.3104079620675,,
betweenness,,,5,0.8281591264821399,0.8133872369520032,2,87.26350875545748,,
betweenness,,,6,0.804387350137551,0.7933559819905818,6,84.1666275448727,,
betweenness,,,7,0.7953836906746158,0.7843998715282802,6,83.65491447975838,,
betweenness,,,8,0.7669339473904997,0.7601291570776183,7,82.129164514968,,
